Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,A1BG,Alpha-1B-glycoprotein,44858,579,1.05 [0.66-1.68],0.825655885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,AAMDC,Mth938 domain-containing protein,43598,560,0.99 [0.85-1.16],0.9007808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,AARSD1,Alanyl-tRNA editing protein Aarsd1,51282,658,0.94 [0.83-1.06],0.291492199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ABCA2,ATP-binding cassette sub-family A member 2,43319,555,1.05 [0.84-1.32],0.668841717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ABHD14B,Protein ABHD14B,50959,646,0.94 [0.83-1.06],0.317028584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ABL1,Tyrosine-protein kinase ABL1,51282,658,1.01 [0.91-1.12],0.845959672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ABO,Histo-blood group ABO system transferase,44826,575,1.00 [0.94-1.05],0.944064521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ABRAXAS2,BRISC complex subunit Abraxas 2,43319,555,0.98 [0.87-1.12],0.811404761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",50307,647,0.97 [0.89-1.06],0.49322762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43973,571,0.99 [0.88-1.11],0.818962965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44786,575,0.91 [0.83-1.00],0.039810601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACAN,Aggrecan core protein,51029,651,1.15 [0.90-1.48],0.264840014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACE,Angiotensin-converting enzyme,44826,575,1.33 [0.99-1.79],0.055377466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACE2,Angiotensin-converting enzyme 2,50576,656,1.13 [1.00-1.29],0.05480068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACHE,Acetylcholinesterase,43810,566,1.26 [0.99-1.60],0.062896108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACOT13,Acyl-coenzyme A thioesterase 13,44598,575,0.96 [0.89-1.03],0.238356036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,51520,659,0.99 [0.86-1.14],0.90335438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,ACP1,Low molecular weight phosphotyrosine protein phosphatase,43494,565,0.90 [0.75-1.08],0.246059699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
